T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
27.3,33.6,19,1010.8,29,3.9,13.3,25.9,117.75

31.6,40,19.9,1006.3,27,2.9,5.6,11.1,84.5

32.4,40.5,20.7,1004.5,33,2.3,2.6,9.4,46.916666666666664

33,40.6,22,1002.1,29,3.2,8.5,24.1,104.625

34.9,43.2,28.9,999.7,45,2.7,9.1,21.7,0.0

33.5,40.2,28.5,1001.9,49,2.3,8.5,22.2,30.875

33.9,40,26.8,1001.9,31,3.2,11.1,22.2,75.58333333333333

32.6,38.2,22.5,1006.3,33,2.7,11.9,51.9,0.0

32.2,38.5,24,1004.8,37,2.9,13.3,39.6,0.0

32.1,39,24,1005.4,40,3.1,5.9,20.6,0.0

32.2,38.1,23.1,1007.2,35,3.7,5.7,13,94.75

32.3,39.6,22,1006.8,37,3.2,4.4,13,142.5

32.6,40,24.4,1006.6,35,2.3,7.4,18.3,133.375

36.6,44,25.3,1003.7,27,3.4,8,18.3,147.83333333333334

36.6,44.1,27.6,1002.7,30,2.6,3.5,9.4,158.29166666666666

35.6,42.8,28,1001.5,36,3.2,10.7,20.6,149.58333333333334

36,41.8,27.5,1002,35,2.7,6.7,18.3,101.5

37.2,43,27.8,999.8,28,3.1,6.7,14.8,106.5

37.9,44,28.1,998.3,24,3.2,10.2,22.2,128.125

32.3,40.2,27.4,1001.4,45,3.2,6.5,18.3,101.95833333333333

34,41.4,28.4,1000,38,3.4,5.4,22.2,98.41666666666667

31.2,39,24,1001.5,45,2.1,9.8,22.2,94.375

36.4,41.6,28.5,999.1,36,3.4,4.3,11.1,107.625

37.8,44,29,997.3,33,3.1,8.3,22.2,110.41666666666667

35.3,43.9,29.3,998,46,3.9,13.3,18.3,95.83333333333333

29.4,37,26,1000.2,69,2.9,9.4,20.6,72.25

32.9,37,24.9,1000.7,52,2.4,5,14.8,38.666666666666664

34.9,40,26,999.4,38,2.6,6.7,13,45.375

37.3,42.5,28.7,996.6,32,3.4,12.2,35.2,65.16666666666667

31.7,43,26,1003.5,51,3.2,14.3,37,66.08333333333333

30.3,37.2,25,1002.1,62,3.5,8.9,18.3,77.66666666666667

32.9,37,26.4,1000.6,53,2.7,4.8,13,70.25

36.6,42,28.1,997.5,33,3.5,13.3,29.4,56.291666666666664

36.1,42,29,1000.4,37,2.9,12.8,43.2,77.0

34.7,41.6,28.6,998.9,39,3.1,11.3,22.2,32.958333333333336

30.2,37,24,998,72,3.2,10.2,27.8,80.625

27.6,37.4,23.2,998.3,79,2.6,5.6,14.8,90.70833333333333

27.7,32.2,23.7,999,85,2.4,6.7,13,97.29166666666667

35.7,39,30,997.7,58,3.1,6.7,13,50.708333333333336

35.2,39.4,30.4,998.9,62,3.4,7.6,18.3,40.375

35.6,39,30.5,998.5,59,3.4,9.4,18.3,49.416666666666664

30.3,34.5,25.4,995.6,84,2.4,3.3,9.4,61.875

28.1,35.1,26,996.9,91,1.9,6.5,14.8,0.0

32,37,26.7,996.5,75,2.3,3.7,9.4,29.666666666666668

31.3,35.8,25.2,1000.4,74,2.7,3.9,11.1,49.125

31.9,36.5,28.2,999.1,72,2.4,6.3,13,43.666666666666664

34.4,37.6,29.6,998.6,58,2.9,7.4,14.8,29.833333333333332

31.1,35,27,999.4,69,3.2,7.8,14.8,35.208333333333336

33.2,36.5,28.4,999.6,64,3.7,9.6,18.3,37.625

31.6,36.4,28.4,1000.2,76,3.2,6.1,14.8,41.458333333333336

34.1,38,28,997.6,64,2.7,5,18.3,38.583333333333336

29.2,38.4,25,998,84,2.3,6.9,18.3,36.0

32.5,36,28,997.5,70,3.1,10,18.3,70.58333333333333

29.6,33.4,26.6,997.3,84,2.4,9.3,16.5,33.166666666666664

31.6,35,26.4,999.1,74,3.2,8.9,13,38.25

32.2,35,28.6,1000.7,69,3.7,9.3,16.5,26.583333333333332

28.3,34.1,27,1001.1,89,2.1,4.6,18.3,15.416666666666666

28.8,32,26.8,1001.6,84,2.3,9.6,18.3,41.375

29.8,32,27,1000.2,78,2.7,10.2,14.8,25.541666666666668

31.2,35,27.3,997.2,69,2.9,18.7,27.8,28.375

29.8,36.1,26,1001.8,84,2.3,3.5,11.1,50.333333333333336

31.7,36,26.5,1001.5,77,2.7,4.8,13,35.375

29.2,35.6,27,999.3,87,1.6,3.5,18.3,31.916666666666668

31.3,35,27.3,1001.2,68,2.9,13.1,22.2,35.291666666666664

31.6,36,27.4,1003.3,63,3.7,7.2,14.8,26.833333333333332

27.9,37.8,26,1003.2,92,1.6,6.1,14.8,35.708333333333336

32,36,26.5,1001.8,70,3.1,9.6,28.7,43.583333333333336

32.1,36,28.3,1001.3,72,3.2,8.5,16.5,46.041666666666664

31.1,35,27.2,999.9,76,2.4,3.9,11.1,82.875

29.1,35.3,25.2,1000.4,84,2.4,4.3,22.2,64.91666666666667

31,36,24.8,1000,71,3.2,3.7,9.4,30.666666666666668

28.2,35.5,25.6,1003.7,89,1.6,6.1,20.6,34.416666666666664

28.7,33,25.5,1002.6,81,2.3,9.4,22.2,33.166666666666664

28.2,32.6,26,1002.8,78,2.7,9.8,22.2,30.625

30.7,35,25.2,1003.9,70,3.4,8.1,18.3,30.333333333333332

28.9,36.1,24.2,1005.5,76,2.9,6.7,13,0.0

31.2,35,26.5,1005.5,67,2.7,5.7,13,0.0

31.6,35.1,26.8,1003.9,65,3.1,6.7,11.1,0.0

32.2,36.2,27,1006.2,63,2.9,4.6,11.1,76.875

32.1,36.6,27.5,1005.6,67,2.4,3,7.6,83.45833333333333

32.7,36.1,27,1005.1,53,2.9,6.7,14.8,71.66666666666667

31.6,36,25.6,1002.8,59,2.6,1.1,7.6,69.70833333333333

31.6,37,25,1002.9,57,2.7,3,11.1,62.375

30.7,36.9,24.8,1002.7,69,2.9,6.9,11.1,24.875

30.2,35,23.8,1004.5,67,3.1,8.9,14.8,43.958333333333336

30.4,35.1,25,1005.7,66,3.4,5.7,18.3,41.5

30.8,36,23.8,1005.9,58,3.1,2.6,11.1,38.791666666666664

28.8,36,22,1005.9,55,3.4,5.7,22.2,30.333333333333332

29.9,36.4,21.9,1006,47,3.9,8,24.1,26.666666666666668

30.5,36.4,21.3,1007.9,53,3.7,7.2,14.8,29.0

29.6,36,21.6,1007.6,54,2.9,6.1,18.3,61.708333333333336

28.8,35.8,22.4,1006.9,63,2.6,3.9,11.1,60.541666666666664

29.6,36,22.5,1007.6,58,2.7,2.4,11.1,41.583333333333336

29,35,21.6,1004.5,57,2.6,4.4,14.8,80.04166666666667

28.8,36.4,21.5,1004.4,56,2.6,2.4,13,82.83333333333333

28.2,36.5,19.2,1005.1,54,2.7,3.5,16.5,95.25

28.5,36,19.4,1008.8,58,2.4,0.6,9.4,126.16666666666667

27.8,36.3,20.5,1007.5,62,1.3,2,13,136.70833333333334

25.9,35.3,18.4,1005.6,61,1.6,3.1,11.1,160.66666666666666

23.8,33,17,1013.7,63,1.6,2.6,7.6,245.66666666666666

23.8,33.1,16.1,1014,67,1.9,0.7,5.4,261.6666666666667

23.8,33.2,17.3,1012.8,69,1.8,0.7,5.4,272.4166666666667

23.5,31.4,17.6,1014,72,1.6,1.7,9.4,99.70833333333333

23.3,32,19.4,1012.9,79,1.3,2.6,9.4,217.375

22.7,30.3,17.5,1013.5,78,1.1,0.4,3.5,309.375

21.1,30,16,1014.4,73,0.6,1.9,11.1,321.5416666666667

19.7,30.2,14,1014,82,0.3,0.4,3.5,278.0

20.1,30.4,13.8,1013.2,71,0.5,0.9,7.6,192.33333333333334

19.3,28.5,12.4,1010.9,74,0.6,0.4,3.5,224.16666666666666

20.1,28.5,14.6,1011.2,73,0.8,1.9,7.6,196.75

18.1,24.3,13.5,1016.5,60,1.8,5.6,14.8,166.70833333333334

15.9,24.5,9.4,1017.3,58,1.4,3.9,11.1,130.70833333333334

16,24.4,10.2,1015.1,59,1.8,5.2,18.3,194.70833333333334

16.9,26.5,8.6,1016,57,1.9,3.5,9.4,134.45833333333334

16.9,27.5,8.6,1016.7,63,1.6,1.1,9.4,110.0

16.3,27.5,9,1013.9,63,1.9,5,13,160.0

15.7,27.1,8.2,1015.7,66,1.6,1.7,13,118.91666666666667

15.1,26.4,8,1016.6,72,1.3,0.7,5.4,185.95833333333334

17.4,25,12,1015.7,47,1.9,6.1,22.2,239.125

16.6,25.2,9.4,1015.4,52,1.9,6.7,22.2,365.2916666666667

16.1,26.6,0.7,1015.3,60,1.9,1.7,9.4,312.2083333333333

15.7,21.7,12,1018.2,85,1,3.3,7.6,121.33333333333333

13.6,21.3,9.6,1020.1,83,0.8,4.8,11.1,202.875

12.7,19.5,8,1021,78,1,6.1,11.1,260.1666666666667

15.2,25.6,9.6,1019.9,70,1.4,4.4,9.4,277.7083333333333

16.4,23.7,9.6,1020.6,82,0.5,2.8,9.4,284.1666666666667

17.4,25,12,1020.8,76,0.8,1.3,9.4,288.4166666666667

13.5,25.1,7,1017.8,79,1,3.9,13,166.91666666666666

14.4,23.2,7.1,1017.7,74,1.3,2,7.6,169.0

15.1,25,7.6,1017.1,71,1.3,3.5,13,186.04166666666666

13.2,18.2,9.2,1021,92,0.8,7.6,11.1,255.875

11.1,18.3,5,1020.2,80,1.1,8,14.8,217.08333333333334

12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,229.16666666666666

11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,264.9166666666667

11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,404.5

13.9,21.6,7,1019.6,74,0.8,1.1,9.4,188.5

14.9,22.1,8.9,1017.2,78,1,2.8,7.6,164.75

12,22.1,9.6,1019.7,95,0.3,0.4,3.5,376.9166666666667

14.5,21,8.6,1023.2,88,1.3,3.5,7.6,0.0

14.6,22.3,9,1021.2,86,1,4.4,9.4,0.0

13.4,22.3,11.5,1020.6,98,1.4,6.9,13,57.0

11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,202.91666666666666

14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,205.125

16.6,24,10.1,1018.8,75,1.3,10,14.8,214.125

14.8,21.1,10,1019.3,86,0.5,3,11.1,315.7916666666667

13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,322.25

15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,246.04166666666666

18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,200.91666666666666

19.7,26.4,15.1,1009.3,72,1.6,15,29.4,99.5

13.8,26.4,9.6,1011.3,88,1,8.1,14.8,143.91666666666666

12.7,19.5,7,1012,66,1.4,9.3,25.9,100.25

15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1,165.0

13.1,22.6,11,1011.8,97,1.1,5.4,11.1,116.45833333333333

12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6,143.0

15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6,231.125

16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4,218.66666666666666

17.2,24.6,9,1014.2,75,1.4,8.9,14.8,211.0

17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6,52.208333333333336

18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4,187.5

18.6,25.3,13,1013.3,80,1.1,7.2,22.2,130.16666666666666

16.3,21.3,12,1015.1,90,1.1,4.3,13,123.125

16.1,21.8,10,1017.1,82,1.3,5.7,11.1,120.91666666666667

17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1,153.625

18.4,25.9,11,1017,65,2.3,6.7,14.8,130.33333333333334

19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1,110.70833333333333

22.3,29,14,1014.6,61,2.3,5,13,138.5

18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,75.75

19.7,27.6,12,1015.2,66,1.9,5.7,13,146.54166666666666

21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,116.625

21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2,80.04166666666667

21.5,29.2,15,1010.8,59,2.6,7.4,18.3,100.04166666666667

22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1,109.45833333333333

24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1,110.16666666666667

25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1,108.20833333333333

23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4,103.83333333333333

24.2,30.8,17,1008.2,48,1.9,13.1,22.2,74.29166666666667

24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9,101.79166666666667

26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8,106.16666666666667

25.1,35.2,18,1010.4,53,2.1,10.4,25.9,89.875

27.2,38,21,1009.7,55,1.9,13,18.3,48.208333333333336

25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3,47.041666666666664

25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9,67.79166666666667

27,37.2,22.6,1009.8,49,1.9,15.6,27.8,56.666666666666664

27.7,34.5,21.5,1010.6,55,1.9,5.2,13,79.0

29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1,123.58333333333333

25.6,32.3,20,1011.4,64,1.9,5,14.8,80.29166666666667

26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1,137.875

28.1,35.8,18.6,1010,40,1.9,8.7,16.5,87.875

30.5,38.8,20.6,1006,41,2.4,8.1,22.2,121.20833333333333

31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5,97.04166666666667

30.6,38.7,21.5,1007,36,1.9,8.3,18.3,92.08333333333333

34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3,130.625

34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1,90.5

31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3,55.416666666666664

31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6,108.33333333333333

32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5,198.875

30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8,120.70833333333333

25.2,30.6,18,1008.2,71,2.6,10,20.6,60.541666666666664

26.9,32.1,19,1006.6,62,1.8,8.5,18.3,79.0

29.7,35.4,23,1004.1,48,1.8,11.1,16.5,133.70833333333334

32.3,39.1,24,1006.6,36,2.3,11.7,24.1,53.25

31.9,38.8,26.5,1006,39,2.3,8.7,22.2,65.16666666666667

32.8,38.6,24.8,1002.3,40,1.9,9.6,18.3,83.58333333333333

32.4,40.6,23.2,1005.2,45,2.7,8.9,14.8,40.666666666666664

30,36.4,21.4,1007.2,60,2.6,4.1,14.8,48.125

31.8,38.8,24,1004.8,54,1.9,2.6,7.6,103.16666666666667

34.6,42.8,25,999.6,46,1.8,6.3,18.3,143.375

32.9,41.6,25.6,1003,44,2.9,17.4,55.4,44.791666666666664

32.8,39.9,25,1003.3,48,2.6,4.6,14.8,71.95833333333333

34.8,41.7,26.5,1000,40,2.6,6.5,14.8,17.5

38.5,44.9,30.8,994,31,1.9,13.1,29.4,101.0

37.8,45.1,28.6,993.3,34,1.9,6.7,18.3,76.20833333333333

37.9,45.5,30.1,993.1,38,1.9,5.9,16.5,84.33333333333333

30.3,41.1,22.7,997.7,62,2.6,16.7,29.4,48.833333333333336

30.5,37.1,25.5,997.3,73,2.6,6.5,22.2,64.45833333333333

33.9,40.6,28,997,59,2.1,8.1,25.9,80.54166666666667

35.6,41.4,28.4,993.2,55,1.9,10.9,18.3,65.41666666666667

37.9,43,31,991.5,44,2.3,17.8,25.9,54.666666666666664

36.9,41.7,32.7,994,49,1.9,9.8,24.1,78.54166666666667

33.3,39,25.3,997.7,56,1.9,9.8,16.5,49.125

32.4,38.1,23.5,1000.8,66,1.9,3.3,7.6,65.875

34.7,39.9,28.8,1001.5,55,1.9,9.4,22.2,72.41666666666667

31.2,35.2,27,1000.9,71,1.9,6.3,11.1,184.66666666666666

29.5,36.6,25.5,1000.9,76,1.8,5.7,14.8,113.33333333333333

28.9,36.6,26.1,998.4,80,1.9,5.2,14.8,146.20833333333334

34,38.8,26.8,998.1,55,1.9,5.6,14.8,112.29166666666667

34.9,40.3,28.6,996.8,48,1.9,9.6,25.9,60.625

35.9,40.5,29.6,996.3,46,1.9,13.7,27.8,71.0

33.3,42.3,29.2,997.8,69,1.9,5.2,9.4,153.41666666666666

32.4,40.2,25.9,997.2,74,1.9,6.7,14.8,134.95833333333334

33.2,39,28.5,996.2,68,1.9,8.9,11.1,81.125

29.8,33.6,25.4,995.1,76,1.9,6.3,18.3,52.25

30.8,34.6,26.5,996.6,74,1.9,6.3,14.8,160.375

32.1,35.8,27.2,996.1,71,1.9,4.6,9.4,99.375

30.7,33.9,26.5,1000.8,70,1.9,10,14.8,31.458333333333332

32.5,37.5,27.6,1001.9,67,1.9,7.2,18.3,47.375

31.7,37.5,28.1,1002.1,71,1.9,2.4,33.5,38.166666666666664

32.5,36.5,28.2,999.9,71,1.9,7.8,16.5,35.958333333333336

33.3,37.7,28.1,998,66,1.9,6.5,9.4,25.083333333333332

30.3,35.3,28.4,996.9,81,1.9,0.9,7.6,45.833333333333336

31.4,36.6,27,995.3,72,1.9,5.7,13,33.708333333333336

31,34,29,996.8,71,1.9,5.6,16.5,26.416666666666668

30.9,35,27.6,998.4,73,1.9,5.9,14.8,30.666666666666668

30.9,35.4,27,1000.3,75,1.9,4.8,16.5,29.958333333333332

32,36.6,27,998.1,63,2.3,20.7,27.8,23.875

30.5,36.2,25.4,997.3,65,2.3,18.5,29.4,22.333333333333332

31.2,35.7,27.6,999,62,1.9,14.6,27.8,25.083333333333332

33,37,27,1004.8,59,1.9,6.9,16.5,66.79166666666667

33.3,38.4,28,1002.5,54,1.9,8.9,18.3,64.875

32.6,38.4,28,1001.3,51,1.9,10.9,27.8,47.583333333333336

33.7,39.1,27.5,1002.6,53,2.7,7.8,16.5,33.5

34.1,39.4,29,1001.5,49,3.1,10,18.3,43.041666666666664

34.1,39.4,27.5,1001.1,53,2.9,8,20.6,38.416666666666664

27.5,34.8,25,1001,89,1.9,4.3,16.5,49.291666666666664

29.5,35.3,24.6,1001.1,71,2.3,10.9,48.2,19.541666666666668

29.4,35.3,26.3,1001.7,76,2.6,10.4,20.6,22.833333333333332

28.5,33.2,26,1001.3,82,1.9,15,25.9,24.291666666666668

30.9,34.7,25.7,1003.5,73,1.9,1.3,5.4,74.66666666666667

31.2,36,26.4,1003.3,72,1.9,3.5,13,41.875

30.8,36,26.8,1002.5,76,1.9,1.9,11.1,50.583333333333336

29.3,34.1,23.5,1004.1,73,1.8,4.3,11.1,58.125

29,34.8,24.6,1004.3,71,1.9,6.7,14.8,57.291666666666664

29.8,34.9,22.5,1004.2,68,2.6,6.7,18.3,38.25

31,36.3,25.3,1003.5,62,3.1,4.3,14.8,47.416666666666664

31,36.3,26,1002.8,61,2.3,4.4,11.1,56.916666666666664

30.4,36.2,25.2,1003.6,61,2.6,5.6,14.8,54.625

30,35.8,24.2,1007.7,58,2.6,9.6,18.3,45.958333333333336

30.1,35.7,24,1008.1,57,2.4,5.7,16.5,52.25

30.7,36.3,25.4,1009.2,54,3.1,8.9,16.5,43.333333333333336

31,36.9,24.3,1010.1,54,3.1,3.1,11.1,41.958333333333336

30.3,36.9,24.6,1009.1,58,2.6,2.8,9.4,0.0

30.7,37,24.4,1008.1,57,2.7,2,14.8,0.0

30.9,37.2,24.5,1008.3,65,1.6,1.1,5.4,45.75

29.6,35.2,24.9,1009.9,59,1.9,3,20.6,70.70833333333333

27.6,34.6,22.2,1010,56,2.3,3.3,11.1,51.791666666666664

27.6,34.5,18.6,1009.8,66,1.8,8.7,14.8,0.0

24.4,33.6,21.4,1011,75,1.9,5.4,14.8,11.583333333333334

24.5,30.4,19.6,1014.8,73,2.1,3.1,7.6,13.0

23.8,31.5,16.5,1012.5,61,1.4,4.3,11.1,156.25

24.7,32.3,16.6,1013.3,60,1.8,4.4,14.8,156.0

25.4,33.3,18,1014.5,60,1.4,2,5.4,151.79166666666666

25.4,33.1,18.6,1012.3,71,1,0.9,3.5,252.625

25.1,32.3,19.4,1014.9,69,1.4,2,9.4,119.41666666666667

24.9,32.6,19.5,1013.7,67,1.4,1.9,9.4,126.0

23.2,32.1,16,1013.7,62,1,3.7,11.1,232.33333333333334

22.5,29.3,16.6,1014,57,1.3,5.4,11.1,215.54166666666666

22.7,31.1,15.8,1014.5,54,1.4,7.2,20.6,239.41666666666666

23.4,31.2,15,1013.4,58,1.1,4.1,14.8,196.54166666666666

23.9,31.7,16.6,1012.9,69,1,2.4,11.1,232.54166666666666

24,32.1,17.1,1014.6,69,1.3,1.7,9.4,185.5

24.2,31.6,17.2,1015.3,62,1.1,4.3,11.1,282.1666666666667

18.5,27.6,11.7,1016.6,56,1.3,3.3,11.1,257.6666666666667

18.3,27.6,9,1016.4,48,1.3,7.4,22.2,166.875

18.6,27.5,10.6,1014.8,51,1.3,2.8,11.1,135.16666666666666

17.6,28.8,8.5,1016.6,59,1.3,1.1,9.4,211.45833333333334

18.4,28.8,11.7,1014.9,58,1.4,3.7,9.4,215.5

17.2,27.8,9.8,1014.1,64,1,2,11.1,223.375

16.4,26.6,8,1015,57,1.3,2.6,14.8,135.58333333333334

17.4,26.7,9,1011.2,55,1.4,6.3,14.8,152.04166666666666

20.1,30,11.4,1013.8,47,1.8,8.9,22.2,46.708333333333336

20.1,29,13.8,1014.3,52,1.9,7.2,22.2,91.75

20.3,28.1,14,1013.6,52,1.9,9.3,22.2,99.91666666666667

17.2,27.4,10.5,1014.9,52,1.6,4.8,14.8,119.70833333333333

17.1,26.3,10.2,1015.1,54,1.6,2.8,11.1,110.875

15.8,22.3,10.4,1016.2,77,1,8.9,14.8,203.58333333333334

15,20.8,13.2,1016.8,93,1.1,3.5,9.4,25.083333333333332

14.2,20,10.4,1019.2,82,1.6,1.9,9.4,57.083333333333336

11.7,17.6,7.4,1022.3,85,0.3,0.4,3.5,349.2916666666667

11.3,17.5,7.2,1018.8,81,0.8,5.7,13,188.04166666666666

9.5,17.5,5.6,1018.1,84,0.5,0.9,3.5,310.25

9.3,16,6,1020,85,0.6,8.1,14.8,204.375

10.8,17,6.3,1017.7,82,0.8,7.8,11.1,223.25
